num	fish	treatment	length	total_relative_distance 	cumulative_duration_intern	latency_to_first_intern	cumulative_duration_extern	latency_to_first_extern	cumulative_time_shelter	repetition	out_shelter
48	12C4	controle	1.957	320.533	58.24	172.68	359.28	37.08	1382.48	two	1
49	1A6	controle	1.84	950.324	241.32	103.12	742.68	83.76	816	two	1
50	1C4	controle	1.923	1440.697	139	187	386.4	184.52	1274.6	two	1
51	2A4	controle	1.83	416.283	19.68	403.04	141.44	85.56	1638.88	two	1
52	2D2	low	1.89	63.8199	13.32	715.76	103.36	536.84	1683.32	two	1
53	2D5	low	1.947	225.7552	8.28	566.12	152.84	561.36	1638.88	two	1
54	3C5	low	1.936	760.882	53.32	204.24	913.24	183.64	833.44	two	1
55	10A5	controle	1.963	170.554	43.48	1555.24	80.88	1397.64	1675.64	two	1
56	10C4	controle	1.776	360.156	93.2	806.96	535.44	802.32	1171.36	two	1
57	10C5	controle	1.977	67.4559	15.04	125.72	104.36	89.68	1680.6	two	1
58	10C6	low	1.913	941.824	87.28	32.76	434.56	29.12	1278.16	two	1
59	10D2	low	1.93	423.611	11.84	725.24	120.96	702.24	1667.2	two	1
60	11A3	low	2.022	59.3559	0.48	1572	122.56	1014.44	1676.96	two	1
61	11A5	low	2.109	1350.541	69.52	138.24	591.04	109.6	1139.44	two	1
62	11A4	high	1.916	2242.744	81.92	4.44	450.88	2.52	1267.2	two	1
63	7B6	controle	1.985	213.768	12.12	612.72	157.32	612.36	1630.56	two	1
64	12A3	high	1.955	502.272	106	367	458.96	366.84	1235.04	two	1
65	10A2	low	1.967	92.6355	4.8	1029.52	90.12	1201.38	1705.08	two	1
66	12B6	controle	2.009	2672.971	238.6	557.96	586.72	322.36	974.68	two	1
67	12C3	low	2.077	7.14523	0	1800	21.16	1529.4	1778.84	two	1
68	11D2	controle	1.977	1861.8177	104.68	364.64	34.6	339.64	1660.72	two	1
70	9A5	controle	2.082	5588.378	287.88	10.2	922.68	7.36	589.44	two	1
71	11B1	high	2.107	202.323	35.04	305.28	246.36	169.84	1518.6	two	1
72	11B6	high	2.134	140.025	18.96	119.84	326.84	109.36	1454.2	two	1
73	12B1	high	2.086	743.3378	50.08	103.8	205.92	8.56	1544	two	1
74	10B4	controle	1.995	921.6421	66.4	431.4	711.88	125.84	1021.72	two	1
75	5C1	low	2.07	27.9916	0.4	1682.88	82.24	490.84	1717.36	three	1
76	1A5	low	1.939	148.71	9.36	1437.28	110.96	1363	1679.68	three	1
77	7A2	controle	1.869	1407.171	192.84	410.36	1151.96	408.8	455.2	three	1
78	7A3	controle	1.875	89.4909	9.48	1568.24	61	1165.48	1729.52	three	1
79	7C1	controle	1.809	62.8509	24.92	273.92	180.48	139.6	1594.6	three	1
80	8A4	controle	2.17	36.568	0.2	1508.88	39.36	1318.48	1760.44	three	1
81	8A5	low	1.857	0	0	1800	0	1800	1800	three	0
82	8A6	low	2.104	391.165	41.28	693.36	223.36	2	1535.36	three	1
83	12B3	high	2.068	160.9	10.64	899.4	133.4	862.44	1655.96	three	1
84	12B4	low	1.973	433.575	33.6	689.92	374.68	539.2	1391.72	three	1
85	12C4	controle	2.132	1302.638	115.52	509.32	421.84	405.04	1262.64	three	1
86	1A6	controle	1.884	6.75033	0	1800	5.4	1639.92	1794.6	three	1
87	1C4	controle	2.042	1157.268	108.52	428.8	413.4	424.4	1278.08	three	1
88	2A4	controle	1.911	318.133	23.6	544.64	260.08	264.8	1516.32	three	1
89	2D2	low	2.041	261.5546	30.64	408.76	272.28	258.44	1497.08	three	1
90	2D5	low	2.002	0	0	1800	0	1800	1800	three	0
91	3C5	low	1.963	588.288	70.92	782.6	303.08	483.44	1426	three	1
92	10A5	controle	1.991	435.032	73.52	684.6	298.72	676.84	1427.76	three	1
93	10C4	controle	1.923	333.986	189.2	667.68	956.8	300.64	654	three	1
94	10C5	controle	2.127	741.311	47.56	20.88	735.08	15.02	1017.36	three	1
95	10C6	low	2.032	3678.448	237.24	53.4	732.48	50	830.28	three	1
96	10D2	low	2.145	121.895	4.4	1315.72	103.08	783.76	1692.52	three	1
97	11A3	low	2.118	0.62262	0	1800	18.88	1564.2	1781.12	three	1
98	11A5	low	2.179	964.053	90	544.28	407.04	212.12	1302.96	three	1
99	11A4	high	2.003	224.815	39.6	721.4	295.16	545	1465.24	three	1
100	7B6	controle	2.074	11.7845	1.16	1406.76	24.32	1382.92	1774.52	three	1
101	12A3	high	2.167	0	0	1800	0	1800	1800	three	0
102	10A2	low	2.018	415.9238	4.16	1124.36	151.32	1018.68	1644.52	three	1
103	12B6	controle	2.093	1939.1456	53.64	290.52	611.76	289.6	1134.6	three	1
104	12C3	low	2.203	0.24401	0	1800	7.68	768.2	1792.32	three	1
105	11D2	controle	2.014	388.542	14.6	1089.92	248.32	852.44	1537.08	three	1
107	9A5	controle	2.114	4771.693	113.56	155.88	1048.04	33.24	638.4	three	1
108	11B1	high	2.18	2967.4803	144.2	183.16	711.36	169.72	944.44	three	1
109	11B6	high	2.174	687.7693	47.72	402.28	524.04	129.92	1228.24	three	1
110	12B1	high	2.154	3039.306	194	174.8	734.96	0	871.04	three	1
111	10B4	controle	2.01	599.1752	85.88	474.52	447.96	252.04	1266.16	three	1
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											

